GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,OptionsController,163,0,0,0,36,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,OptionTypeController,36,0,0,0,11,0,5,0,5,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,ContractController,391,0,2,0,76,0,15,0,14,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,ClientController,231,0,0,0,50,0,12,0,12,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,MainController,15,0,0,0,6,0,3,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,TariffController,184,0,0,0,39,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,NumberController,41,0,0,0,12,0,3,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.controller,AdvRestController,10,0,0,0,4,0,2,0,2,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,ClientServiceImpl.new Authenticator() {...},0,21,0,0,0,2,0,2,0,2
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,TariffServiceImpl,49,163,7,5,10,31,7,9,2,8
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,OptionTypeServiceImpl,12,46,3,3,3,15,3,6,0,6
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,ContractServiceImpl,117,448,19,29,14,95,14,27,2,15
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,OptionsServiceImpl,14,220,7,5,2,41,5,11,0,10
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,ClientServiceImpl,83,379,13,19,17,79,12,19,1,14
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.impl,NumberServiceImpl,5,81,1,5,1,22,1,13,0,11
MobileOperatorJavaSchoolT Maven Webapp,com.school.service.security,ClientDetailService,40,0,0,0,10,0,4,0,4,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.aspect,LoggingAspect,104,0,0,0,19,0,5,0,5,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.aspect,RabbitMqAspect,30,0,0,0,12,0,4,0,4,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.customSerializer,CustomTariffSerializer,48,0,4,0,16,0,5,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.customSerializer,CustomOptionSerializer,34,0,0,0,11,0,3,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,ClientDaoImpl,146,0,0,0,33,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,ContractDaoImpl,207,0,0,0,44,0,11,0,11,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,NumberDaoImpl,125,0,0,0,32,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,TariffDaoImpl,143,0,0,0,33,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,OptionTypeDaoImpl,74,0,0,0,20,0,6,0,6,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.dao.impl,OptionsDaoImpl,143,0,0,0,33,0,9,0,9,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.advice,securityAdvice,35,0,2,0,9,0,4,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.advice,exceptionAdvice,84,0,2,0,14,0,5,0,4,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.configuration,WebInitializer,19,0,0,0,4,0,4,0,4,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.configuration,SecurityConfig,108,0,0,0,19,0,5,0,5,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.configuration,Config,100,0,0,0,29,0,6,0,6,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.configuration,SecurityInitializer,3,0,0,0,1,0,1,0,1,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.configuration,RabbitConfiguration,26,0,0,0,6,0,5,0,5,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.dto,OptionsDto,0,31,0,0,0,6,0,9,0,9
MobileOperatorJavaSchoolT Maven Webapp,com.school.dto,ContractDto,37,85,2,2,6,15,6,19,5,18
MobileOperatorJavaSchoolT Maven Webapp,com.school.dto,NumberDto,10,0,0,0,3,0,3,0,3,0
MobileOperatorJavaSchoolT Maven Webapp,com.school.dto,ClientDto,0,45,0,0,0,8,0,13,0,13
MobileOperatorJavaSchoolT Maven Webapp,com.school.dto,TariffDto,3,54,0,2,1,10,1,10,1,9
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,Client,0,80,0,0,0,13,0,23,0,23
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,Options,0,59,0,0,0,10,0,17,0,17
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,OptionType,0,24,0,0,0,5,0,7,0,7
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,Contract,0,59,0,0,0,10,0,17,0,17
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,Tariff,0,45,0,0,0,8,0,13,0,13
MobileOperatorJavaSchoolT Maven Webapp,com.school.database.entity,Number,9,24,0,0,4,5,1,7,1,7
MobileOperatorJavaSchoolT Maven Webapp,com.school.customException,ServiceLayerException,0,4,0,0,0,2,0,1,0,1
